district,value,nutrient
Balaka,99.17,iron
Balaka,99.17,iron
Blantyre,99.31,iron
Blantyre,99.31,iron
Blantyre City,99.21,iron
Blantyre City,99.21,iron
Chikwawa,99.66,iron
Chikwawa,99.66,iron
Chiradzulu,99.84,iron
Chiradzulu,99.84,iron
Chitipa,97.05,iron
Chitipa,97.05,iron
Dedza,97.05,iron
Dedza,97.05,iron
Dowa,97.27,iron
Dowa,97.27,iron
Karonga,99.22,iron
Karonga,99.22,iron
Kasungu,98.26,iron
Kasungu,98.26,iron
Likoma,100,iron
Likoma,100,iron
Lilongwe,98.25,iron
Lilongwe,98.25,iron
Lilongwe City,99.73,iron
Lilongwe City,99.73,iron
Machinga,98.79,iron
Machinga,98.79,iron
Mangochi,99.45,iron
Mangochi,99.45,iron
Mchinji,96.96,iron
Mchinji,96.96,iron
Mulanje,99.87,iron
Mulanje,99.87,iron
Mwanza,98.43,iron
Mwanza,98.43,iron
Mzimba,98.35,iron
Mzimba,98.35,iron
Mzuzu City,97.85,iron
Mzuzu City,97.85,iron
Neno,99.22,iron
Neno,99.22,iron
Nkhata Bay,99.41,iron
Nkhata Bay,99.41,iron
Nkhotakota,98.79,iron
Nkhotakota,98.79,iron
Nsanje,99.08,iron
Nsanje,99.08,iron
Ntcheu,98.25,iron
Ntcheu,98.25,iron
Ntchisi,98.58,iron
Ntchisi,98.58,iron
Phalombe,99.78,iron
Phalombe,99.78,iron
Rumphi,99.69,iron
Rumphi,99.69,iron
Salima,97.85,iron
Salima,97.85,iron
Thyolo,99.63,iron
Thyolo,99.63,iron
Zomba,98.73,iron
Zomba,98.73,iron
Zomba City,99.34,iron
Zomba City,99.34,iron
